model,subtype,samples,mean_total,mean_A,mean_E,mean_L,mean_P
claude-opus-4-6,A,51,59.7332,20.7059,26.0062,19.3412,8.7843
claude-opus-4-6,B,15,60.2328,23.76,27.0994,19.84,10.4667
claude-opus-4-6,C,130,58.4537,19.7262,28.7585,18.7385,10.1
claude-opus-4-6,N/A,1,0.0,6.0,8.8857,6.0,24.0
deepseek-v3.2,A,52,53.5304,18.8308,23.4445,17.8615,10.0577
deepseek-v3.2,B,15,69.4295,24.0,29.0562,22.24,5.8667
deepseek-v3.2,C,133,50.3658,17.4406,26.0787,16.4932,12.0
deepseek-v3.2,N/A,1,30.8,12.0,32.4,8.4,22.0
gemini-3-pro-preview,A,52,57.9046,20.1,26.4033,18.9462,9.9038
gemini-3-pro-preview,B,15,82.3018,27.92,31.4618,25.52,2.6
gemini-3-pro-preview,C,133,61.8938,19.9308,30.6682,19.2,9.0301
gemini-3-pro-preview,N/A,1,97.8571,30.0,37.8571,30.0,0.0
glm-5,A,52,57.6238,19.5462,26.7652,18.5538,9.3077
glm-5,B,15,71.4122,25.84,27.7322,23.84,6.0
glm-5,C,133,61.8941,20.2827,29.3719,19.6421,8.5639
glm-5,N/A,1,43.2,22.8,32.8,9.6,22.0
gpt-5,A,52,62.5118,21.2769,27.3964,20.2154,8.3654
gpt-5,B,15,82.3722,27.44,31.4122,25.92,2.4
gpt-5,C,133,68.8856,22.1774,31.4598,21.7444,7.7744
gpt-5,N/A,1,35.8571,22.8,26.6571,8.4,22.0
qwen-plus,A,52,51.6777,18.9923,22.7303,17.5154,11.3462
qwen-plus,B,15,68.6753,25.44,27.936,22.88,7.7333
qwen-plus,C,133,54.4155,18.7128,26.7491,18.3158,10.9624
qwen-plus,N/A,1,42.8,19.2,38.4,7.2,22.0
qwen3.5-27b,A,52,56.3839,19.6385,25.6935,18.6923,9.8077
qwen3.5-27b,B,15,70.921,24.72,28.801,23.6,6.2
qwen3.5-27b,C,133,55.9727,18.9925,28.5222,18.2346,11.1053
qwen3.5-27b,N/A,1,24.4,12.0,27.2,7.2,22.0
qwen3.5-397b-a17b,A,52,54.2976,18.8538,26.154,17.5385,11.8462
qwen3.5-397b-a17b,B,15,83.8189,28.4,32.6589,26.16,3.4
qwen3.5-397b-a17b,C,133,62.3952,20.1744,30.1078,19.9759,9.0827
qwen3.5-397b-a17b,N/A,1,52.8,22.8,40.0,12.0,22.0
qwen3.5-4b,A,52,41.5613,15.8538,21.0802,14.1923,13.6923
qwen3.5-4b,B,15,64.8217,24.08,28.6884,20.72,8.6667
qwen3.5-4b,C,133,49.807,17.1699,25.3403,16.2857,12.0301
qwen3.5-4b,N/A,1,27.6,15.6,0.0,12.0,0.0
qwen3.5-9b,A,52,53.3929,18.7385,24.4924,17.5154,9.9231
qwen3.5-9b,B,15,71.3656,23.12,30.4056,22.24,4.4
qwen3.5-9b,C,133,55.106,18.8752,26.1383,18.3338,10.3835
qwen3.5-9b,N/A,1,31.6,12.0,21.6,12.0,14.0
